date,startup,industry,subvertical,city,investors,investment_type,amount
27-06-2016,yourdost,consumer internet,Online counselling & Personal coaching platform,Bengaluru,SAIF Partners,Seed Funding,1200000
27-06-2016,gomalon,consumer internet,Online Spa & Salon discovery & Booking platform,Bengaluru,Undisclosed investor,Seed Funding,100000
27-06-2016,travelyaari,consumer internet,Online ticket booking platform,Bengaluru,GVFL Ltd,Private Equity,3000000
28-06-2016,fab hotels,consumer internet,Online Hotel aggregator & Booking platform,Gurugram,Accel Partners,Private Equity,8000000
28-06-2016,locanix,technology,GPS based SaaS Solutions,Ahmedabad,Undisclosed investors,Seed Funding,300000
28-06-2016,lendingkart,consumer internet,Online Working Capital Business Loans Platform,Ahmedabad,Bertelsmann India Investments,Private Equity,32000000
28-06-2016,hello tax,consumer internet,Online Tax Filing Platform,New Delhi,Sanjeev Sinha,Seed Funding,295000
29-06-2016,letreach,ecommerce,ECommerce SAAS Solutions,New Delhi,vCommission,Private Equity,100000
29-06-2016,trendieapp,technology,Visual Content Marketing,Kolkata,Harsh Vardhan Hada,Seed Funding,50000
29-06-2016,velvetcase,ecommerce,Online designer jewellery marketplace,Mumbai,Uniqorn Ventures Fund,Private Equity,1500000
30-06-2016,meru cabs,consumer internet,Online/ Mobile Tax Cab booking,Mumbai,Brand Capital,Private Equity,25000000
30-06-2016,campus diaries,consumer internet,Student focussed Content Discovery portal,Bengaluru,Aarin Capital,Seed Funding,220000
30-06-2016,biryani blues,food & beverage,QSR Chain,Gurugram,Carpediem Capital & Others,Private Equity,368000
01-05-2016,get my parking,technology,Parking Technology Platform,New Delhi,The Chennai Angels,Seed Funding,376000
01-05-2016,prescribez,consumer internet,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed Funding,145000
03-05-2016,mobikwik,consumer internet,Mobile & Digital Wallet,Gurugram,GMO Payment Gateway,Private Equity,50000000
03-05-2016,zwayam,consumer internet,Online Recruitment Platform,Bengaluru,Undisclosed investors,Seed Funding,250000
03-05-2016,zuver,consumer internet,Car driver Discovery App,Mumbai,Shruth & Smith Group,Seed Funding,180000
04-05-2016,easyroads,consumer internet,Road Trip planning Mobile app,Mumbai,Rohan Angrish,Seed Funding,200000
04-05-2016,lenskart,ecommerce,Eyewear & Accessories etailer,New Delhi,International Finance Corp,Private Equity,60000000
04-05-2016,seclore,technology,Enterprise Security Technology platform,Mumbai,Sistema Asia Fund,Private Equity,12000000
04-05-2016,solartown,technology,Solar Rooftop system installation company,Chennai,Grex.in,Seed Funding,200000
04-05-2016,comarete,technology,Telecom & Media IT services company,Pune,Grex.in,Seed Funding,200000
04-05-2016,mydentistchoice,ecommerce,Medical Supplies eTailer,Hyderabad,Undisclosed investors,Seed Funding,150000
04-05-2016,active.ai,technology,Intelligent Tech platform for Finance vertical,Singapore,Kalaari Capital Accelerator Program,Seed Funding,500000
04-05-2016,affordplan,technology,Affordable non-emergency medical service health plans,New Delhi,Kalaari Capital Accelerator Program,Seed Funding,500000
04-05-2016,indee,consumer internet,Web Video Streaming Platform,Bengaluru,Kalaari Capital Accelerator Program,Seed Funding,500000
05-05-2016,weballigator,consumer internet,Cloud Based Software Solutions,Bengaluru,Group of undisclosed Angel Investors & HNIs,Seed Funding,375000
06-05-2016,eduace services,education,Education Workshops & mentoring programs,Lucknow,MoMagic Technologies,Private Equity,1000000
07-05-2016,zebroads,logistics,Logistics and Warehousing services,Hyderabad,Undisclosed investors,Seed Funding,75000
09-05-2016,locus,technology,Logistics Intelligence platform,Bengaluru,Exfinity Venture Partners,Private Equity,2750000
09-05-2016,toko innovations,consumer internet,Children's Entertainment Portal,Bengaluru,Roopak Saluja,Seed Funding,450000
09-05-2016,rentickle,ecommerce,"Furniture, appliances Portal",New Delhi,Manish Kheterpal,Seed Funding,250000
10-05-2016,healthifyme,consumer internet,Health & Fitness App,Bengaluru,IDG Ventures India,Private Equity,6000000
10-05-2016,zarget,consumer internet,Conversion Rate Optimization Platform,Chennai,Accel Partners,Private Equity,1500000
